July 29,Basketball,False,"[('men', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,13:00
July 29,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', u'\xa320.00']",14:30,18:30
July 29,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa3115.00', u'\xa375.00', u'\xa345.00', u'\xa330.00']",20:00,00:00
July 30,Basketball,False,"[('women', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",09:00,13:00
July 30,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",14:30,18:30
July 30,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",20:00,00:00
July 31,Basketball,False,"[('men', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,13:00
July 31,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', u'\xa320.00']",14:30,18:30
July 31,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa3115.00', u'\xa375.00', u'\xa345.00', u'\xa330.00']",20:00,00:00
August  1,Basketball,False,"[('women', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",09:00,13:00
August  1,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",14:30,18:30
August  1,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa330.00', u'\xa320.00']",20:00,00:00
August  2,Basketball,False,"[('men', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,13:00
August  2,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', u'\xa320.00']",14:30,18:30
August  2,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa3115.00', u'\xa375.00', u'\xa345.00', u'\xa330.00']",20:00,00:00
August  3,Basketball,False,"[('women', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",09:00,13:00
August  3,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",14:30,18:30
August  3,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",20:00,00:00
August  4,Basketball,False,"[('men', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,13:00
August  4,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', u'\xa320.00']",14:30,18:30
August  4,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa3115.00', u'\xa375.00', u'\xa345.00', u'\xa330.00']",20:00,00:00
